timestamp,temperatura_c,humedad_relativa_pct,direccion_viento_grados,velocidad_viento_nudos,visibilidad_millas,indicador_valor_faltante
2024-01-01 00:00:00-03,19.00,68.15,40.0,4.00,6.21,f
2024-01-01 01:00:00-03,18.00,72.56,50.0,7.00,6.21,f
2024-01-01 02:00:00-03,18.00,72.56,30.0,7.00,6.21,f
2024-01-01 03:00:00-03,17.00,77.29,30.0,5.00,6.21,f
2024-01-01 04:00:00-03,16.00,87.92,10.0,3.00,6.21,f
2024-01-01 05:00:00-03,16.00,82.37,50.0,5.00,6.21,f
2024-01-01 06:00:00-03,16.00,87.92,20.0,6.00,6.21,f
2024-01-01 07:00:00-03,16.00,87.92,40.0,7.00,6.21,f
2024-01-01 08:00:00-03,17.00,82.50,10.0,5.00,6.21,f
2024-01-01 09:00:00-03,18.00,77.45,20.0,5.00,6.21,f
2024-01-01 10:00:00-03,21.00,68.55,40.0,5.00,6.21,f
2024-01-01 11:00:00-03,23.00,64.69,360.0,7.00,6.21,f
2024-01-01 12:00:00-03,25.00,57.36,30.0,2.00,6.21,f
2024-01-01 13:00:00-03,25.00,61.13,90.0,6.00,6.21,f
2024-01-01 14:00:00-03,23.00,64.69,130.0,12.00,6.21,f
2024-01-01 15:00:00-03,23.00,64.69,130.0,13.00,6.21,f
2024-01-01 16:00:00-03,23.00,64.69,120.0,13.00,6.21,f
2024-01-01 17:00:00-03,22.00,68.75,130.0,13.00,6.21,f
2024-01-01 18:00:00-03,23.00,68.94,120.0,15.00,6.21,f
2024-01-01 19:00:00-03,22.00,78.04,120.0,14.00,6.21,f
2024-01-01 20:00:00-03,22.00,83.09,130.0,12.00,6.21,f
2024-01-01 21:00:00-03,22.00,78.04,100.0,12.00,6.21,f
2024-01-01 22:00:00-03,22.00,78.04,90.0,10.00,6.21,f
2024-01-01 23:00:00-03,22.00,78.04,70.0,10.00,6.21,f
2024-01-02 00:00:00-03,21.00,73.09,70.0,10.00,6.21,f
2024-01-02 01:00:00-03,20.00,77.75,70.0,9.00,6.21,f
2024-01-02 02:00:00-03,20.00,77.75,70.0,6.00,6.21,f
2024-01-02 03:00:00-03,19.00,82.74,70.0,6.00,6.21,f
2024-01-02 04:00:00-03,19.00,82.74,90.0,5.00,6.21,f
2024-01-02 05:00:00-03,18.00,88.09,70.0,4.00,6.21,f
2024-01-02 06:00:00-03,18.00,88.09,50.0,3.00,6.21,f
2024-01-02 07:00:00-03,19.00,82.74,120.0,4.00,6.21,f
2024-01-02 08:00:00-03,22.00,78.04,110.0,10.00,6.21,f
2024-01-02 09:00:00-03,22.00,78.04,110.0,9.00,6.21,f
2024-01-02 10:00:00-03,24.00,69.14,120.0,7.00,6.21,f
2024-01-02 11:00:00-03,24.00,73.61,140.0,11.00,6.21,f
2024-01-02 12:00:00-03,24.00,73.61,140.0,11.00,6.21,f
2024-01-02 13:00:00-03,25.00,69.33,130.0,13.00,6.21,f
2024-01-02 14:00:00-03,24.00,69.14,130.0,17.00,6.21,f
2024-01-02 15:00:00-03,24.00,73.61,130.0,19.00,6.21,f
2024-01-02 16:00:00-03,24.00,73.61,120.0,18.00,6.21,f
2024-01-02 17:00:00-03,23.00,78.19,110.0,14.00,6.21,f
2024-01-02 18:00:00-03,24.00,64.91,100.0,12.00,6.21,f
2024-01-02 19:00:00-03,23.00,78.19,110.0,12.00,6.21,f
2024-01-02 20:00:00-03,22.00,83.09,110.0,13.00,6.21,f
2024-01-02 21:00:00-03,21.00,82.98,120.0,12.00,6.21,f
2024-01-02 22:00:00-03,21.00,82.98,110.0,11.00,6.21,f
2024-01-02 23:00:00-03,20.00,88.26,110.0,10.00,6.21,f
2024-01-03 00:00:00-03,20.00,82.86,100.0,10.00,6.21,f
2024-01-03 01:00:00-03,19.00,82.74,100.0,9.00,6.21,f
2024-01-03 02:00:00-03,19.00,82.74,110.0,6.00,6.21,f
2024-01-03 03:00:00-03,19.00,82.74,120.0,10.00,6.21,f
2024-01-03 04:00:00-03,19.00,88.18,120.0,7.00,6.21,f
2024-01-03 05:00:00-03,19.00,88.18,110.0,7.00,6.21,f
2024-01-03 06:00:00-03,19.00,93.92,100.0,9.00,6.21,f
2024-01-03 07:00:00-03,20.00,88.26,120.0,5.00,6.21,f
2024-01-03 08:00:00-03,22.00,78.04,100.0,9.00,6.21,f
2024-01-03 09:00:00-03,22.00,78.04,120.0,10.00,6.21,f
2024-01-03 10:00:00-03,24.00,69.14,120.0,10.00,6.21,f
2024-01-03 11:00:00-03,24.00,73.61,130.0,12.00,6.21,f
2024-01-03 12:00:00-03,24.00,78.34,120.0,15.00,6.21,f
2024-01-03 13:00:00-03,24.00,78.34,120.0,16.00,6.21,f
2024-01-03 14:00:00-03,24.00,73.61,120.0,16.00,6.21,f
2024-01-03 15:00:00-03,24.00,73.61,120.0,16.00,6.21,f
2024-01-03 16:00:00-03,24.00,73.61,120.0,16.00,6.21,f
2024-01-03 17:00:00-03,23.00,78.19,120.0,18.00,6.21,f
2024-01-03 18:00:00-03,23.00,78.19,120.0,18.00,6.21,f
2024-01-03 19:00:00-03,23.00,78.19,110.0,16.00,6.21,f
2024-01-03 20:00:00-03,23.00,78.19,110.0,14.00,6.21,f
2024-01-03 21:00:00-03,22.00,83.09,100.0,13.00,6.21,f
2024-01-03 22:00:00-03,21.00,82.98,90.0,13.00,6.21,f
2024-01-03 23:00:00-03,21.00,88.34,100.0,13.00,6.21,f
2024-01-04 00:00:00-03,20.00,93.97,90.0,10.00,6.21,f
2024-01-04 01:00:00-03,19.00,93.92,90.0,9.00,6.21,f
2024-01-04 02:00:00-03,19.00,88.18,100.0,6.00,6.21,f
2024-01-04 03:00:00-03,19.00,88.18,100.0,5.00,6.21,f
2024-01-04 04:00:00-03,19.00,88.18,100.0,5.00,6.21,f
2024-01-04 05:00:00-03,19.00,82.74,90.0,4.00,6.21,f
2024-01-04 06:00:00-03,18.00,88.09,100.0,5.00,6.21,f
2024-01-04 07:00:00-03,20.00,82.86,80.0,8.00,6.21,f
2024-01-04 08:00:00-03,22.00,73.27,80.0,12.00,6.21,f
2024-01-04 09:00:00-03,23.00,68.94,70.0,14.00,6.21,f
2024-01-04 10:00:00-03,23.00,73.44,120.0,10.00,6.21,f
2024-01-04 11:00:00-03,24.00,69.14,130.0,10.00,6.21,f
2024-01-04 12:00:00-03,24.00,69.14,130.0,15.00,6.21,f
2024-01-04 13:00:00-03,24.00,73.61,130.0,15.00,6.21,f
2024-01-04 14:00:00-03,31.00,31.17,110.0,15.00,6.21,f
2024-01-04 15:00:00-03,25.00,69.33,110.0,15.00,6.21,f
2024-01-04 16:00:00-03,25.00,69.33,120.0,14.00,6.21,f
2024-01-04 17:00:00-03,25.00,61.13,120.0,14.00,6.21,f
2024-01-04 18:00:00-03,25.00,65.12,120.0,15.00,6.21,f
2024-01-04 19:00:00-03,25.00,65.12,80.0,8.00,6.21,f
2024-01-04 20:00:00-03,25.00,61.13,70.0,10.00,6.21,f
2024-01-04 21:00:00-03,24.00,60.90,70.0,8.00,6.21,f
2024-01-04 22:00:00-03,23.00,60.67,60.0,12.00,6.21,f
2024-01-04 23:00:00-03,21.00,73.09,60.0,9.00,6.21,f
2024-01-05 00:00:00-03,20.00,72.92,70.0,7.00,6.21,f
2024-01-05 01:00:00-03,20.00,72.92,70.0,5.00,6.21,f
2024-01-05 02:00:00-03,19.00,77.60,80.0,4.00,6.21,f
2024-01-05 03:00:00-03,18.00,77.45,60.0,5.00,6.21,f
