corte,horizonte,modelo,MAE,RMSE,n
1,1,SGD,5.380257082067543,11.179574114110219,2156
1,1,persistencia,7.569587910396004,18.263156781820168,2156
1,2,SGD,6.7778013440517455,13.124134592473737,2156
1,2,persistencia,7.569054257719743,18.26313802408579,2156
1,3,SGD,7.781697423913746,14.079633514613041,2156
1,3,persistencia,7.565007730901332,18.26190558678612,2156
1,4,SGD,8.423622423103618,13.938457675002974,2156
1,4,persistencia,7.566747958883256,18.26297830127338,2156
1,5,SGD,8.876703927461199,14.145848368491423,2156
1,5,persistencia,7.573432331894337,18.267965406097368,2156
1,6,SGD,9.155538964321128,14.154657958620737,2156
1,6,persistencia,7.578721950738531,18.273335261159833,2156
1,7,SGD,8.93738783103202,14.062539416382053,2156
1,7,persistencia,7.576579400449853,18.271610469652575,2156
1,8,SGD,8.689255016781267,13.901590218937246,2156
1,8,persistencia,7.575067451591071,18.270136392948643,2156
1,9,SGD,8.70258305895624,13.916745166184532,2156
1,9,persistencia,7.5673292705196396,18.26467536757733,2156
1,10,SGD,8.718111235378215,13.9655524939204,2156
1,10,persistencia,7.558845685930671,18.258467938547383,2156
1,11,SGD,8.758534532375862,13.981629991605862,2156
1,11,persistencia,7.54832572689034,18.251116168277683,2156
1,12,SGD,8.998267497778782,14.056196237540817,2156
1,12,persistencia,7.536921217764754,18.242421751248934,2156
1,13,SGD,8.667947819545065,13.900823808707106,2156
1,13,persistencia,7.525668027446927,18.23310612284586,2156
1,14,SGD,8.522093379164993,13.845687430745766,2156
1,14,persistencia,7.516576050803893,18.226887959171222,2156
1,15,SGD,8.790140727260392,14.033821152961442,2156
1,15,persistencia,7.506638175899973,18.220818687061303,2156
1,16,SGD,8.499693060904452,13.972826360956965,2156
1,16,persistencia,7.492970976637453,18.209363827579292,2156
1,17,SGD,7.951321465967105,14.21014463312929,2156
1,17,persistencia,7.478419227289678,18.196757001279593,2156
1,18,SGD,7.725563015453824,14.197405678514329,2156
1,18,persistencia,7.465008283453435,18.18530022729367,2156
1,19,SGD,8.05200015633217,13.989469109912985,2156
1,19,persistencia,7.450921509383514,18.17296489689196,2156
1,20,SGD,7.501566254654096,13.617794171425505,2156
1,20,persistencia,7.439954514232669,18.159820953897,2156
1,21,SGD,7.911060120234481,13.762419084458072,2156
1,21,persistencia,7.442264997444311,18.161715652217865,2156
1,22,SGD,7.3601880814161404,13.50833219636668,2156
1,22,persistencia,7.4360224086164655,18.15271493714597,2156
1,23,SGD,7.9082241095980885,13.424658378267074,2156
1,23,persistencia,7.420940724248818,18.135917858005488,2156
1,24,SGD,7.828642655479506,13.48644191133217,2156
1,24,persistencia,7.403320191713049,18.11563776197624,2156
2,1,SGD,8.732311892859027,18.130558504969915,1650
2,1,persistencia,14.611853535353536,29.04670532087868,1650
2,2,SGD,10.425907151637913,20.868026238774974,1650
2,2,persistencia,14.61279292929293,29.046732541046563,1650
2,3,SGD,11.797652690830754,23.10902230057997,1650
2,3,persistencia,14.612065656565656,29.046717518229496,1650
2,4,SGD,12.339046910434947,23.867263684348494,1650
2,4,persistencia,14.604106060606062,29.04491801601245,1650
2,5,SGD,12.58741521722612,24.29592391006968,1650
2,5,persistencia,14.591479797979797,29.040389381322647,1650
2,6,SGD,13.012769450489293,24.542366775858522,1650
2,6,persistencia,14.576853535353536,29.034252567490764,1650
2,7,SGD,13.164486848362131,24.65679742251018,1650
2,7,persistencia,14.569338383838383,29.032647731029563,1650
2,8,SGD,13.2242311827693,24.57335375541942,1650
2,8,persistencia,14.559661616161616,29.029914489783764,1650
2,9,SGD,13.219153248182327,24.592477103854304,1650
2,9,persistencia,14.557843434343434,29.029723463634063,1650
2,10,SGD,13.252064577051515,24.54684871479139,1650
2,10,persistencia,14.556863636363637,29.029608426894725,1650
2,11,SGD,13.552897534613056,24.807664875558746,1650
2,11,persistencia,14.557449494949495,29.029646771558614,1650
2,12,SGD,13.233178791533927,24.542248341003056,1650
2,12,persistencia,14.558035353535352,29.02968915244399,1650
2,13,SGD,13.06594224322429,24.5528535624763,1650
2,13,persistencia,14.557065656565657,29.029616777824025,1650
2,14,SGD,13.121760825792494,24.626145680084587,1650
2,14,persistencia,14.556873737373738,29.029600194847834,1650
2,15,SGD,13.15876359968714,24.60734799056362,1650
2,15,persistencia,14.55919696969697,29.029786930384986,1650
2,16,SGD,12.632637303948705,24.310469892928932,1650
2,16,persistencia,14.559489898989899,29.029794750634306,1650
2,17,SGD,12.413840897489612,24.055862169024802,1650
2,17,persistencia,14.560146464646467,29.029808886229787,1650
2,18,SGD,12.38273456262877,23.591985099747042,1650
2,18,persistencia,14.561439393939393,29.029904642747027,1650
2,19,SGD,12.504233573525521,23.36210324531858,1650
2,19,persistencia,14.563035353535353,29.03001734414447,1650
2,20,SGD,12.415135145619539,23.31180928230538,1650
2,20,persistencia,14.57911616161616,29.042875073298344,1650
2,21,SGD,12.049233781231521,23.362768619576403,1650
2,21,persistencia,14.612883838383837,29.095429271211593,1650
