,MAE,MAE,RMSE,RMSE
modelo,SGD,persistencia,SGD,persistencia
horizonte,,,,
1,7.417,11.356,14.915,23.406
2,8.883,11.357,17.266,23.406
3,9.975,11.361,18.601,23.414
4,10.702,11.365,19.033,23.424
5,11.109,11.37,19.379,23.436
6,11.351,11.374,19.508,23.449
7,11.384,11.378,19.532,23.463
8,11.311,11.383,19.51,23.477
9,11.396,11.387,19.554,23.492
10,11.347,11.392,19.489,23.506
11,11.559,11.396,19.616,23.52
12,11.539,11.4,19.596,23.534
13,11.452,11.405,19.548,23.549
14,11.476,11.409,19.551,23.565
15,11.407,11.415,19.568,23.582
16,11.187,11.42,19.443,23.6
17,10.902,11.425,19.395,23.619
18,10.76,11.43,19.191,23.64
19,10.809,11.436,18.916,23.663
20,10.452,11.443,18.694,23.686
21,10.274,11.452,18.597,23.715
22,10.28,11.461,18.54,23.747
23,10.334,11.472,18.631,23.788
24,10.454,11.48,18.722,23.816
