validacion,horizonte,modelo,MAE,RMSE,n
temporal (Maroñas),1,SGD,6.894612539615513,13.435776663250271,3475
temporal (Maroñas),1,persistencia,9.464796244023784,20.24764573721022,3475
temporal (Maroñas),2,SGD,7.595915185223882,15.778872931265695,3474
temporal (Maroñas),2,persistencia,9.46571556220147,20.250280190213772,3474
temporal (Maroñas),3,SGD,8.696925691455304,15.874141142415667,3473
temporal (Maroñas),3,persistencia,9.455761395324192,20.23940595212407,3473
temporal (Maroñas),4,SGD,9.293987816819062,16.406265668260712,3472
temporal (Maroñas),4,persistencia,9.444299348099559,20.225055553924907,3472
temporal (Maroñas),5,SGD,9.470162457702394,16.614413454741953,3471
temporal (Maroñas),5,persistencia,9.43164022712288,20.20766367771522,3471
temporal (Maroñas),6,SGD,9.791371309310094,16.84837409110601,3470
temporal (Maroñas),6,persistencia,9.417710951350562,20.186770371163682,3470
temporal (Maroñas),7,SGD,9.934928070606578,16.829064511099048,3469
temporal (Maroñas),7,persistencia,9.40338002934481,20.164702460346906,3469
temporal (Maroñas),8,SGD,10.094165477902289,16.88459969495627,3468
temporal (Maroñas),8,persistencia,9.388382792245938,20.14062844278014,3468
temporal (Maroñas),9,SGD,10.212905497535631,16.89578604913298,3467
temporal (Maroñas),9,persistencia,9.372973446684485,20.115265921088117,3467
temporal (Maroñas),10,SGD,10.103793056837876,16.815772741229267,3466
temporal (Maroñas),10,persistencia,9.357868119898747,20.09082658832729,3466
temporal (Maroñas),11,SGD,10.006766356230658,16.76754567048562,3465
temporal (Maroñas),11,persistencia,9.342682274723645,20.066122042081567,3465
temporal (Maroñas),12,SGD,10.173075515215215,16.783796957026457,3464
temporal (Maroñas),12,persistencia,9.326713377992748,20.038926363912395,3464
temporal (Maroñas),13,SGD,10.247398326774587,16.734904463528334,3463
temporal (Maroñas),13,persistencia,9.310677855977696,20.011492231089196,3463
temporal (Maroñas),14,SGD,10.061439029043585,16.63186891734981,3462
temporal (Maroñas),14,persistencia,9.294354198989714,19.983092726550094,3462
temporal (Maroñas),15,SGD,10.24115061901437,16.66445617797665,3461
temporal (Maroñas),15,persistencia,9.27742433005541,19.952636812198723,3461
temporal (Maroñas),16,SGD,10.06871165493014,16.51981997992381,3460
temporal (Maroñas),16,persistencia,9.259391577122036,19.91828761409119,3460
temporal (Maroñas),17,SGD,9.702661413332779,16.223237209846324,3459
temporal (Maroñas),17,persistencia,9.240389897406901,19.880324056963204,3459
temporal (Maroñas),18,SGD,9.64157564034618,16.15040264805849,3458
temporal (Maroñas),18,persistencia,9.220466647730804,19.838752097780677,3458
temporal (Maroñas),19,SGD,9.08577117996184,15.8445087635167,3457
temporal (Maroñas),19,persistencia,9.199630670622945,19.79344061506696,3457
temporal (Maroñas),20,SGD,8.613878795246732,15.762540708755909,3456
temporal (Maroñas),20,persistencia,9.178266976254342,19.745853860042008,3456
temporal (Maroñas),21,SGD,8.92860475109347,15.880209738119047,3455
